Core,Soil_wetweight (g),wd,Soil_drywright(g)
BC12-1,246.72,0.831804281,134.6868781
BC12-10,276.52,0.966981132,140.5809113
BC12-11,301.72,2.696969697,81.61278689
BC12-12,274.62,1.173607095,126.3429811
BC12-13,263.92,1.169934641,121.6257831
BC12-14,291.42,1.164335664,134.6463974
BC12-15,302.12,1.136129573,141.433368
BC12-2,262.72,1.431775275,108.0362987
BC12-3,222.22,0.867132867,119.0167041
BC12-4,165.02,1.737967914,60.27097656
BC12-5,278.82,2.571428571,78.0696
BC12-6,264.42,2.637681159,72.68916335
BC12-7,268.32,2.058696954,87.72363003
BC12-8,262.82,0.720394737,152.7672658
BC12-9,259.62,2.058696954,84.87928156
BC13-1,257.07,1.0427142,125.8472673
BC13-10,254.745,1.064705882,123.3807692
BC13-11,246.22,1.079245283,118.4179673
BC13-12,228.42,1.080139373,109.8099497
BC13-13,226.52,1.220883534,101.995443
BC13-14,244.02,0.807228916,135.0244
BC13-15,286.72,1.954453441,97.04671463
BC13-2,269.42,1.606557377,103.3623899
BC13-3,246.12,1.859067531,86.08401073
BC13-4,267.52,1.521585223,106.0919923
BC13-5,248.52,1.485549133,99.98595349
BC13-6,252.72,1.0427142,123.7177477
BC13-7,238.82,3.225806452,56.51465649
BC13-8,238.62,1.0427142,116.8151668
BC13-9,247.32,1.191304348,112.8642857
BC14-1,252.02,2.528229665,71.42959045
BC14-10,234.92,0.697675685,138.377431
BC14-11,253.32,2.041916168,83.27645669
BC14-12,212.72,4.234042553,40.64162602
BC14-13,223.22,2.829787234,58.28522222
BC14-14,261.65,1.159574468,121.1581281
BC14-15,284.32,1.475247525,114.86528
BC14-2,243.72,2.845436054,63.37902817
BC14-3,302.62,2.19047619,94.85104478
BC14-4,229.72,2.708955224,61.93657948
BC14-5,227.12,2.477922886,65.30334555
BC14-6,245.62,4.067961165,48.46524904
BC14-7,280.42,1.211009174,126.8289627
BC14-8,240.12,3.674603175,51.36692699
BC14-9,245.42,2.75177305,65.41440454
BC15-1,226.52,0.652496321,137.077461
BC15-10,158.12,1.298695785,68.78683166
BC15-11,124.22,0.618556701,76.74738854
BC15-12,187.12,1.076086957,90.13109948
BC15-13,172.62,1.414726818,71.48634732
BC15-14,149.72,0.718461538,87.12444047
BC15-15,167.12,0.544668588,108.1914925
BC15-2,226.42,1.118644068,106.87024
BC15-3,119.92,0.68547893,71.14891673
BC15-4,149.72,0.68547893,88.82935134
BC15-5,192.62,1.385003848,80.76297243
BC15-6,157.02,0.637724551,95.8769287
BC15-7,79.92,0.916718301,41.69626802
BC15-8,133.92,1.318965517,57.74988848
BC15-9,114.62,0.68547893,68.0044099
BC2-10,266.32,1.977087881,89.45654633
BC2-1,256.42,0.921568627,133.4430612
BC2-11,260.22,2.499399038,74.36133952
BC2-12,267.52,1.560582011,104.4762475
BC2-13,263.92,2.735714286,70.64780115
BC2-14,241.32,1.401574803,100.4840656
BC2-15,238.82,1.405063291,99.29884211
BC2-2,231.62,2.700934579,62.58419192
BC2-3,244.32,0.670682731,146.2396154
BC2-4,245.72,3.333333333,56.70461538
BC2-5,281.52,1.861386139,98.38588235
BC2-6,251.92,1.538472547,99.24078175
BC2-7,260.32,0.848404255,140.8349928
BC2-8,267.02,0.74829932,152.731284
BC2-9,266.32,1.147435897,124.0176716
BC3-1,259.12,2.683897864,70.33854075
BC3-10,212.62,2.694985826,57.54284591
BC3-11,250.12,1.713286713,92.18340206
BC3-12,252.92,2.683897864,68.65554077
BC3-13,258.42,1.016582781,128.1474792
BC3-14,239.72,1.418410042,99.12297578
BC3-15,255.12,1.572553606,99.16994517
BC3-2,228.82,1.079584775,110.0315807
BC3-3,239.02,1.152941176,111.0202186
BC3-4,272.22,3.643421053,58.62487957
BC3-5,245.92,1.045307443,120.2362025
BC3-6,249.22,1.572553606,96.87650413
BC3-7,251.82,1.130252101,118.2113609
BC3-8,256.42,1.241758242,114.3834314
BC3-9,274.52,2.459319793,79.35664131
BC4-1,282.92,5.051282051,46.75372881
BC4-10,262.32,5.965517241,37.65980198
BC4-11,219.72,4.646681026,38.91135323
BC4-12,210.22,6.075471698,29.71109333
BC4-13,249.72,3.350877193,57.39532258
BC4-14,241.22,5.281471348,38.40183082
BC4-15,205.52,5.536231884,31.4431929
BC4-2,220.22,4.947028424,37.03025853
BC4-3,180.82,4.790909091,31.22480377
BC4-4,214.42,5.044444444,35.47389706
BC4-5,257.12,5.281471348,40.9330849
BC4-6,266.82,5.852941176,38.9351073
BC4-7,208.42,4.219047619,39.93448905
BC4-8,263.82,4.59375,47.16335196
BC4-9,217.32,5.574468085,33.05514563
