CoreID,Treatment,Site,Salinity Transect,LanscapePosition,"Note: PIC = Pre-inundation controls, IC= Inundation cores, CC=Control cores"
BC2-5,PIC,BC2,High,Riverbank,
BC2-7,PIC,BC2,High,Riverbank,
BC2-10,PIC,BC2,High,Riverbank,
BC2-13,PIC,BC2,High,Riverbank,
BC2-15,PIC,BC2,High,Riverbank,
BC3-2,PIC,BC3,High,Floodplain,
BC3-3,PIC,BC3,High,Floodplain,
BC3-4,PIC,BC3,High,Floodplain,
BC3-7,PIC,BC3,High,Floodplain,
BC3-14,PIC,BC3,High,Floodplain,
BC4-3,PIC,BC4,High,Upland,
BC4-8,PIC,BC4,High,Upland,
BC4-9,PIC,BC4,High,Upland,
BC4-12,PIC,BC4,High,Upland,
BC4-15,PIC,BC4,High,Upland,
BC12-1,PIC,BC12,Medium,Riverbank,
BC12-3,PIC,BC12,Medium,Riverbank,
BC12-4,PIC,BC12,Medium,Riverbank,
BC12-13,PIC,BC12,Medium,Riverbank,
BC12-14,PIC,BC12,Medium,Riverbank,
BC13-5,PIC,BC13,Medium,Floodplain,
BC13-11,PIC,BC13,Medium,Floodplain,
BC13-12,PIC,BC13,Medium,Floodplain,
BC13-13,PIC,BC13,Medium,Floodplain,
BC13-14,PIC,BC13,Medium,Floodplain,
BC14-6,PIC,BC14,Medium,Upland,
BC14-9,PIC,BC14,Medium,Upland,
BC14-11,PIC,BC14,Medium,Upland,
BC14-12,PIC,BC14,Medium,Upland,
BC14-13,PIC,BC14,Medium,Upland,
BC15-2,PIC,BC15,Low,TerrestrialEndMember,
BC15-7,PIC,BC15,Low,TerrestrialEndMember,
BC15-5,PIC,BC15,Low,TerrestrialEndMember,
BC15-11,PIC,BC15,Low,TerrestrialEndMember,
BC15-15,PIC,BC15,Low,TerrestrialEndMember,
BC2-1,IC,BC2,High,Riverbank,
BC2-12,IC,BC2,High,Riverbank,
BC2-11,IC,BC2,High,Riverbank,
BC2-2,IC,BC2,High,Riverbank,
BC2-9,IC,BC2,High,Riverbank,
BC3-10,IC,BC3,High,Floodplain,
BC3-12,IC,BC3,High,Floodplain,
BC3-1,IC,BC3,High,Floodplain,
BC3-4,IC,BC3,High,Floodplain,
BC3-11,IC,BC3,High,Floodplain,
BC4-2,IC,BC4,High,Upland,
BC4-14,IC,BC4,High,Upland,
BC4-6,IC,BC4,High,Upland,
BC4-5,IC,BC4,High,Upland,
BC4-4,IC,BC4,High,Upland,
BC12-12,IC,BC12,Medium,Riverbank,
BC12-8,IC,BC12,Medium,Riverbank,
BC12-15,IC,BC12,Medium,Riverbank,
BC12-11,IC,BC12,Medium,Riverbank,
BC12-2,IC,BC12,Medium,Riverbank,
BC13-2,IC,BC13,Medium,Floodplain,
BC13-8,IC,BC13,Medium,Floodplain,
BC13-4,IC,BC13,Medium,Floodplain,
BC13-6,IC,BC13,Medium,Floodplain,
BC13-1,IC,BC13,Medium,Floodplain,
BC14-4,IC,BC14,Medium,Upland,
BC14-1,IC,BC14,Medium,Upland,
BC14-3,IC,BC14,Medium,Upland,
BC14-7,IC,BC14,Medium,Upland,
BC14-8,IC,BC14,Medium,Upland,
BC15-13,IC,BC15,Low,TerrestrialEndMember,
BC15-10,IC,BC15,Low,TerrestrialEndMember,
BC15-12,IC,BC15,Low,TerrestrialEndMember,
BC15-8,IC,BC15,Low,TerrestrialEndMember,
BC15-5,IC,BC15,Low,TerrestrialEndMember,
BC2-14,CC,BC2,High,Riverbank,
BC2-8,CC,BC2,High,Riverbank,
BC2-3,CC,BC2,High,Riverbank,
BC2-6,CC,BC2,High,Riverbank,
BC2-4,CC,BC2,High,Riverbank,
BC3-8,CC,BC3,High,Floodplain,
BC3-9,CC,BC3,High,Floodplain,
BC3-13,CC,BC3,High,Floodplain,
BC3-15,CC,BC3,High,Floodplain,
BC3-6,CC,BC3,High,Floodplain,
BC4-11,CC,BC4,High,Upland,
BC4-7,CC,BC4,High,Upland,
BC4-11,CC,BC4,High,Upland,
BC4-13,CC,BC4,High,Upland,
BC4-10,CC,BC4,High,Upland,
BC12-6,CC,BC12,Medium,Riverbank,
BC12-10,CC,BC12,Medium,Riverbank,
BC12-9,CC,BC12,Medium,Riverbank,
BC12-7,CC,BC12,Medium,Riverbank,
BC12-5,CC,BC12,Medium,Riverbank,
BC13-15,CC,BC13,Medium,Floodplain,
BC13-9,CC,BC13,Medium,Floodplain,
BC13-7,CC,BC13,Medium,Floodplain,
BC13-10,CC,BC13,Medium,Floodplain,
BC13-3,CC,BC13,Medium,Floodplain,
BC14-2,CC,BC14,Medium,Upland,
BC14-5,CC,BC14,Medium,Upland,
BC14-15,CC,BC14,Medium,Upland,
BC14-14,CC,BC14,Medium,Upland,
BC14-10,CC,BC14,Medium,Upland,
BC15-3,CC,BC15,Low,TerrestrialEndMember,
BC15-4,CC,BC15,Low,TerrestrialEndMember,
BC15-1,CC,BC15,Low,TerrestrialEndMember,
BC15-9,CC,BC15,Low,TerrestrialEndMember,
BC15-14,CC,BC15,Low,TerrestrialEndMember,
